Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes,Ligero/Poderoso,Débil/Ácido,Amable/Con Burbujas,Taste_Notes_1_1,Taste_Notes_1_2,Taste_Notes_1_3,Taste_Notes_2_1,Taste_Notes_2_2,Taste_Notes_2_3,Taste_Notes_3_1,Taste_Notes_3_2,Taste_Notes_3_3
https://www.vivino.com/ES/es/trentham-estate-estate-chardonnay-pinot-noir-brut/w/5012245,5012245,Estate Chardonnay - Pinot Noir BrutN.V.,No disponible,Australia,Murray Darling,Trentham Estate,Vino espumoso,"Chardonnay, Pinot Noir",11.95,No disponible,No disponible,"Marisco, Vegetariana, Aperitivos y tentempiés, Pescado blanco, Queso tierno y cremoso, Aperitivo",4.0,7.8,7.8,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/il-mio-gusto-hugo/w/5673940,5673940,HugoN.V.,No disponible,Italia,Conegliano-Valdobbiadene Prosecco,Il Miogusto,Vino espumoso,No disponible,9.08,No disponible,9,"Marisco, Vegetariana, Aperitivos y tentempiés, Aperitivo, Carne adobada",1.5,6.5,6.5,menta,polvo de vainilla,polvo de vainilla,cítrico,polvo de vainilla,polvo de vainilla,algodón de azúcar,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/darling-brut-blanc-de-blancs/w/1575932,1575932,Brut Blanc de Blancs,No disponible,Sudáfrica,Darling,Darling Cellars,Vino espumoso,Chardonnay,5.94,3.7,42,"Marisco, Aperitivos y tentempiés, Aperitivo",4.2,7.4,6.4,cítrico,limón,limón,menta,pomelo,piedra,roble,tostada,almizcle
https://www.vivino.com/ES/es/hugas-de-batlle-xalet-d-en-molar/w/10222921,10222921,Xalet d'en Molar,No disponible,España,Cataluña,Hugas de Batlle,Vino espumoso,Grenache,18.40,3.6,13,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo",2.7,5.5,4.4,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/cosmic-les-fades-del-granit-rioja/w/6618106,6618106,Les Fades del Granit,No disponible,España,Rioja,Cosmic,Vino espumoso,Garnacha,24.65,3.9,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo",4.6,5.3,6.5,hierro,minerales,polvo de vainilla,pomelo,polvo de vainilla,polvo de vainilla,algodón de azúcar,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/vallformosa-gala-gran-reserva-brut/w/1189340,1189340,Gala Gran Reserva Brut,No disponible,España,Cava,Vallformosa,Vino espumoso,"Macabeo, Xarel-lo, Parellada, Chardonnay",15.95,3.6,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",4.0,5.5,6.5,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/josep-m-ferret-reserva-brut-nature-cava/w/1885059,1885059,Reserva Brut Nature,No disponible,España,Cava,Josep M Ferret,Vino espumoso,"Moscato, Xarel-lo, Parellada",12.95,3.7,No disponible,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.7,5.3,6.2,cítrico,limón,polvo de vainilla,minerales,minerales,polvo de vainilla,roble,vainilla,polvo de vainilla
https://www.vivino.com/ES/es/torello-special-edition-brut-reserva/w/1861737,1861737,Special Edition Brut Reserva,No disponible,España,Cava,Torelló,Vino espumoso,"Macabeo, Xarel-lo, Parellada",14.30,3.8,12,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.8,5.7,6.1,pimienta verde,menta,No disponible,cítrico,pomelo,limón,crema,fresa madura,polvo de vainilla
https://www.vivino.com/ES/es/batlliu-de-sort-aulesa-metode-ancestral-comunidad-autnoma-de-catalua/w/10556626,10556626,Aulesa Mètode Ancestral,No disponible,España,Cataluña,Batlliu de Sort,Vino espumoso,Riesling,14.95,No disponible,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo",4.0,4.0,6.5,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/caterina-brut/w/1552050,1552050,Brut,No disponible,Italia,Lombardía,Casa Caterina,Vino espumoso,No disponible,27.50,No disponible,14,"Aperitivos y tentempiés, Aperitivo",4.0,4.0,6.5,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/kloster-eberbach-riesling-brut/w/1558220,1558220,Riesling Brut,No disponible,Alemania,Rheingau,Kloster Eberbach,Vino espumoso,Riesling,11.88,3.6,13,"Aves, Aperitivos y tentempiés, Pescado blanco, Aperitivo",1.9,5.2,6.2,pimienta verde,menta,No disponible,cítrico,limón,limón,minerales,minerales,piedra
https://www.vivino.com/ES/es/la-tordera-alne-prosecco-treviso-millesimato/w/1250012,1250012,Alné Prosecco Treviso Millesimato,No disponible,Italia,Prosecco di Treviso,La Tordera,Vino espumoso,"Glera, Chardonnay",12.06,3.9,5,"Marisco, Vegetariana, Aperitivos y tentempiés, Aperitivo, Carne adobada",1.6,6.0,6.1,piedra,pimienta verde,mora,cítrico,limón,limón,almendra,roble,tabaco
https://www.vivino.com/ES/es/pere-ventura-cavas-cava-tresor-gran-reserva-brut/w/1228709,1228709,Cava Tresor Gran Reserva Brut,No disponible,España,Cava,Pere Ventura Cavas,Vino espumoso,Xarel-lo,21,3.6,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.9,5.3,6.2,pimienta verde,menta,No disponible,cítrico,limón,pomelo,roble,tostada,almendra
https://www.vivino.com/ES/es/barmes-buecher-cremant-d-alsace-brut-nature/w/1158374,1158374,Crémant d'Alsace Brut Nature,No disponible,Francia,Crémant d'Alsace,Domaine Barmès Buecher,Vino espumoso,"Chardonnay, Pinot Gris, Pinot Noir, Riesling, Pinot Blanc, Auxerrois",17,4.0,No disponible,"Marisco, Aves, Aperitivos y tentempiés, Pescado blanco, Aperitivo",4.6,5.5,6.2,pimienta verde,piedra,mora,minerales,minerales,solución salina,roble,tostada,almendra
https://www.vivino.com/ES/es/spier-secret-sparkling-rose/w/2666532,2666532,Secret Sparkling RoséN.V.,No disponible,Sudáfrica,Western Cape,Spier,Vino espumoso,"Pinot Noir, Chardonnay",No disponible,3.6,13,"Marisco, Aperitivos y tentempiés, Aperitivo",4.1,7.2,5.9,fresa,frambuesa,sandía,menta,pomelo,drupa,minerales,piedra,polvo de vainilla
https://www.vivino.com/ES/es/les-caves-des-hautes-cotes-cremant-de-bourgogne-brut-cremant-de-bourgogne/w/1181397,1181397,Crémant de Bourgogne BrutN.V.,No disponible,Francia,Crémant de Bourgogne,Les Caves des Hautes-Cotes,Vino espumoso,"Chardonnay, Pinot Noir",12,3.7,No disponible,"Marisco, Aves, Aperitivos y tentempiés, Pescado blanco, Aperitivo",4.6,5.5,6.3,menta,pomelo,piedra,cítrico,limón,limón,crema,fresa madura,pizarra
https://www.vivino.com/ES/es/codorniu-extra-cuvee-seleccionada-semi-sec/w/1175859,1175859,Extra Cuvée Seleccionada Semi-SecN.V.,No disponible,España,Cava,Codorníu,Vino espumoso,"Macabeo, Xarel-lo, Parellada",6.76,3.6,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",4.0,5.4,6.5,bergamota,nuez moscada,polvo de vainilla,menta,polvo de vainilla,polvo de vainilla,fruta seca,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/apel-roter-elbling-brut/w/7306985,7306985,Roter Elbling Brut,No disponible,Alemania,Mosel,Apel,Vino espumoso,Elbling,7.95,No disponible,12,"Aves, Aperitivos y tentempiés, Pescado blanco, Aperitivo",1.5,4.0,6.5,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/quinta-do-ortigao-tinto-bruto/w/1264974,1264974,Tinto Bruto,No disponible,Portugal,Bairrada,Quinta do Ortigao,Vino espumoso,"Arinto de Bucelas, Bical",16.33,3.6,23,"Marisco, Aperitivos y tentempiés, Aperitivo",4.0,6.4,5.6,tabaco dulce,menta,polvo de vainilla,clavo de olor,polvo de vainilla,polvo de vainilla,limón,limón,polvo de vainilla
https://www.vivino.com/ES/es/clos-du-val-cuvee-du-val-brut/w/1685658,1685658,Cuvée Du Val Brut,No disponible,Australia,Pipers River,Clos du Val,Vino espumoso,Merlot,14.45,No disponible,13,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo",4.0,8.0,7.8,tostada,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/parxet-reserva-especial-m-c/w/6654371,6654371,Reserva Especial M.C.,No disponible,España,Cava,Parxet,Vino espumoso,"Parellada, Macabeo, Xarel-lo",15.90,3.7,No disponible,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",4.5,4.7,5.8,limón,limón,cítrico,crema,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/es-lolivera-reserva-superiore-brut-nature/w/5707661,5707661,Reserva Superiore Brut Nature,No disponible,España,Cataluña,L'Olivera,Vino espumoso,No disponible,16.92,3.8,No disponible,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo",2.9,4.0,4.1,menta,polvo de vainilla,polvo de vainilla,terroso,polvo de vainilla,polvo de vainilla,roble,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/torello-corpinnat-brut-reserva/w/8454320,8454320,Corpinnat Brut Reserva,2022,España,Cava,Torelló,Vino espumoso,"Xarel-lo, Parellada, Macabeo",15.90,3.9,No disponible,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.7,5.2,5.9,piedra,pimienta verde,mora,cítrico,limón,limón,roble,tostada,tabaco
https://www.vivino.com/ES/es/llopart-nectar-terrenal-corpinnat/w/10610487,10610487,Néctar Terrenal Corpinnat,No disponible,España,Penedès,Llopart,Vino espumoso,"Parellada, Xarel-lo",14.10,3.9,No disponible,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo",3.7,3.9,4.2,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/valldolina-cava-tutusaus-gran-reserva-brut-nature/w/1242110,1242110,Cava Tutusaus Gran Reserva Brut Nature,No disponible,España,Cava,VallDolina,Vino espumoso,Macabeo,12.40,3.7,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.9,5.1,5.8,pimienta verde,piedra,mora,cítrico,limón,pomelo,vainilla,tostada,almendra
