0,1,2,3,4,5,6,7,8,ID
ciruela,fruta negra,mora,pimienta,regaliz,carne,cereza,frambuesa,fruta seca,5213875
roble,canela,tabaco,humo,piedra,,mora,arándano,,13623
cereza negra,frutos del bosque,,ciruela roja,cereza,tofi,regaliz,eucalipto,,5443998
frambuesa,cereza,fresa,terroso,cuero,aceite balsámico,roble,caramelo,pimiento,1548332
tabaco,clavo de olor, ,terroso,cuero,humo,ciruela,cereza negra,,1371684
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11302937
fresa,frambuesa,frutos rojos,cuero,terroso,minerales,ciruela,arándano,mora,7012429
roble,café,vainilla,terroso,humo,,mermelada,cereza negra,,9819244
roble,chocolate,cacao,mora,ciruela,casis,cereza,frambuesa,cereza,6639913
frambuesa,cereza,arándano,terroso,humo,clavo de olor,regaliz,pimienta,almizcle,7195348
cereza,,,cuero,,,tabaco dulce,,,1217244
terroso,humo,,frutos rojos,,,cedro,,,5206783
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,4712534
mora,ciruela,frutos rojos,roble,vainilla,tabaco,cereza,fresa,frutos rojos,4342380
mora,ciruela,zarzamora,cereza,frambuesa,fresa,vainilla,tabaco,chocolate,1642171
regaliz,pimienta,pimiento,frutos rojos,,,virutas,,,4525838
fruta negra,cereza negra,,cuero,pizarra,,regaliz,romero,,5758892
mora,mermelada,fruta seca,roble,tabaco,café,cuero,terroso,suelo del bosque,1571274
fresa,cereza,frutos rojos,terroso,minerales,humo,pimienta,pimienta blanca,,5029953
cereza,fresa,frambuesa,pimienta,regaliz,menta,mora,arándano,ciruela,3584126
cereza,fresa,frambuesa,minerales,terroso,cuero,ciruela,frutos del bosque,,1516794
roble,vainilla,chocolate,mora,ciruela,frutos rojos,cereza,frambuesa,fruta seca,4506
cuero,carne de caza,,tabaco,,,mora,,,1366413
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,7312900
roble,vainilla,tabaco,ciruela,mora,fruta negra,cuero,humo,terroso,1199057
mora,fruta negra,casis,tabaco,cedro,chocolate,frambuesa,frutos rojos,,4784293
mora,ciruela,casis,cuero,humo,terroso,pimienta,anís,hierbas,5995003
cereza,fresa,frambuesa,vainilla,chocolate,cuero,cuero,aceite balsámico,,1249952
cuero,humo,terroso,mora,ciruela,fruta negra,roble,tabaco,chocolate,4716633
cereza,fresa,frutos rojos,roble,mezcla de especias para vino caliente,,terroso,cuero,aceite balsámico,1399714
chocolate,roble,vainilla,ciruela,arándano,casis,cereza,fresa,,10067679
caramelo,chocolate,roble,frutos rojos,fresa,,cereza negra,frutos del bosque,,7102196
cereza,fresa,frambuesa,terroso,cuero,hongo,pimienta,regaliz,pimiento,1084764
cereza,frambuesa,fresa,terroso,minerales,hongo,arándano,ciruela,mermelada,1241009
frambuesa,cereza,arándano,aceite balsámico,terroso,,mora,ciruela,fruta negra,6123657
frambuesa,arándano rojo,,regaliz,canela,hierbas,cuero,terroso,hongo,7777697
arándano,mermelada,,queso,,,polvo de vainilla,,,9691161
fresa,cereza roja,frambuesa,roble,,,cereza negra,fruta negra,,2158459
cereza,frutos rojos,tofi,cereza negra,mora,casis,roble,tabaco,tofi,5987334
pimiento asado,,,polvo de vainilla,,,polvo de vainilla,,,9085549
cereza,frambuesa,fruta seca,virutas,pétalo de rosa,,mermelada,ciruela agria,,2694784
cereza,arándano rojo, ,terroso,cuero,hongo,roble,cedro,chocolate,7210144
cuero,hongo,terroso,tabaco,vainilla,,casis,mora,,1462797
cuero,humo,minerales,cereza,frambuesa,fruta seca,cereza negra,mermelada,,2672534
frutos rojos,cereza,tofi,terroso,minerales,hierro,vainilla,roble,cedro,89833
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11063520
fruta negra,frutos del bosque,,polvo de vainilla,,,polvo de vainilla,,,1961351
chocolate,café,tabaco,mora,casis,casis,higo,,,4018591
roble,chocolate,tomate,terroso,tiza,cuero,cereza,fresa,frambuesa,1467833
casis,,,mentol,pimienta,,terroso,minerales,,1165431
cereza,fresa,frambuesa,roble,vainilla,tabaco,pimienta,,,10619877
mora,arándano,casis,tabaco,roble,mermelada,cuero,terroso,cacao,2055411
cereza,arándano rojo, ,vainilla,salsa de fresa,,cuero,suelo del bosque,,1656315
roble,chocolate,tabaco,ciruela,mora,frutos rojos,terroso,cuero,humo,1169652
cereza,frutos rojos,tofi,mora,cereza negra,arándano,roble,vainilla,chocolate,1189450
roble,vainilla,caramelo,fruta negra,ciruela,mora,cacao,humo,cuero,1765097
roble,vainilla,tabaco,ciruela,arándano,fruta seca,cuero,terroso,humo,1165475
roble,chocolate,cacao,mora,arándano,zarzamora,cereza,frutos rojos,rosa seca,1927267
roble,tabaco,vainilla,fruta negra,cereza negra,,cuero,humo,terroso,2059635
roble,vainilla,tabaco,cuero,terroso,aceite balsámico,cereza,frutos rojos,tofi,1199781
cereza,,,vainilla,,,polvo de vainilla,,,6313885
roble,tabaco,,cereza negra,zarzamora,,cuero,terroso,,1241440
roble,chocolate,vainilla,mora,casis,frutos del bosque,cuero,terroso,minerales,1180600
