,Aves,Carneadobada,Carnedecaza,Cerdo,Champiñones,Comidapicante,Cordero,Desconocido,Lacomidabasuravale,Maridajes,Nodisponible,Pasta,Pescadoazul,Pescadoblanco,Quesoazul,Quesocurado,Quesodelechedecabra,Quesotiernoycremoso,Ternera,Terneralechal,Vegetariana,ID
166,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1874
167,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,9091520
168,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1812267
169,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,11045602
170,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1715158
171,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1250658
172,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,3049283
173,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5213875
174,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,13623
175,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5443998
176,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1548332
177,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1371684
178,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,11302937
179,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,7012429
180,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,9819244
181,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,6639913
182,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7195348
183,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1217244
184,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5206783
185,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4712534
186,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4342380
187,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1642171
188,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,4525838
189,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,5758892
190,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1571274
191,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,5029953
192,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,3584126
193,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1516794
194,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4506
195,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1366413
196,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,7312900
197,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1199057
198,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,4784293
199,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,5995003
200,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1249952
201,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4716633
202,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1399714
203,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,10067679
